test_dir,fail_reason,diff_disass
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00030,"rtl hang due to -->8000458c:	a78f0f13          	addi	t5,t5,-1416 # 800e0000 <begin_signature>
","    80004584:	00020fb7          	lui	t6,0x20

    80004588:	000dcf17          	auipc	t5,0xdc

    8000458c:	a78f0f13          	addi	t5,t5,-1416 # 800e0000 <begin_signature>

    80004590:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004594:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00029,"rtl hang due to -->8000452a:	adaf0f13          	addi	t5,t5,-1318 # 800e0000 <begin_signature>
","    80004522:	00020fb7          	lui	t6,0x20

    80004526:	000dcf17          	auipc	t5,0xdc

    8000452a:	adaf0f13          	addi	t5,t5,-1318 # 800e0000 <begin_signature>

    8000452e:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004532:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00028,"rtl hang due to -->80004572:	a92f0f13          	addi	t5,t5,-1390 # 800e0000 <begin_signature>
","    8000456a:	00020fb7          	lui	t6,0x20

    8000456e:	000dcf17          	auipc	t5,0xdc

    80004572:	a92f0f13          	addi	t5,t5,-1390 # 800e0000 <begin_signature>

    80004576:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000457a:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00027,"mismatch due to --> 8000066c:	99c9                	andi	a1,a1,-14
","```

spike.dump:

3 0x000000008000066c (0x000099c9) x11 0x00000000d2e5b662

rtl.dump:

3 0x000000008000066c (0x000099c9) x11 0x0000000000000000

```

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00026,"rtl hang due to -->8000456c:	a98f0f13          	addi	t5,t5,-1384 # 800e0000 <begin_signature>
","    80004564:	00020fb7          	lui	t6,0x20

    80004568:	000dcf17          	auipc	t5,0xdc

    8000456c:	a98f0f13          	addi	t5,t5,-1384 # 800e0000 <begin_signature>

    80004570:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004574:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00025,"rtl hang due to -->80004582:	a82f0f13          	addi	t5,t5,-1406 # 800e0000 <begin_signature>
","    8000457a:	00020fb7          	lui	t6,0x20

    8000457e:	000dcf17          	auipc	t5,0xdc

    80004582:	a82f0f13          	addi	t5,t5,-1406 # 800e0000 <begin_signature>

    80004586:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000458a:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00024,"rtl hang due to -->800045b0:	a54f0f13          	addi	t5,t5,-1452 # 800e0000 <begin_signature>
","    800045a8:	00020fb7          	lui	t6,0x20

    800045ac:	000dcf17          	auipc	t5,0xdc

    800045b0:	a54f0f13          	addi	t5,t5,-1452 # 800e0000 <begin_signature>

    800045b4:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045b8:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00023,"rtl hang due to -->800045a6:	a5ef0f13          	addi	t5,t5,-1442 # 800e0000 <begin_signature>
","    8000459e:	00020fb7          	lui	t6,0x20

    800045a2:	000dcf17          	auipc	t5,0xdc

    800045a6:	a5ef0f13          	addi	t5,t5,-1442 # 800e0000 <begin_signature>

    800045aa:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045ae:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00022,"rtl hang due to -->80004506:	afef0f13          	addi	t5,t5,-1282 # 800e0000 <begin_signature>
","    800044fe:	00020fb7          	lui	t6,0x20

    80004502:	000dcf17          	auipc	t5,0xdc

    80004506:	afef0f13          	addi	t5,t5,-1282 # 800e0000 <begin_signature>

    8000450a:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000450e:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00021,"rtl hang due to -->800045fc:	a08f0f13          	addi	t5,t5,-1528 # 800e0000 <begin_signature>
","    800045f4:	00020fb7          	lui	t6,0x20

    800045f8:	000dcf17          	auipc	t5,0xdc

    800045fc:	a08f0f13          	addi	t5,t5,-1528 # 800e0000 <begin_signature>

    80004600:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004604:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00020,"rtl hang due to -->80004534:	ad0f0f13          	addi	t5,t5,-1328 # 800e0000 <begin_signature>
","    8000452c:	00020fb7          	lui	t6,0x20

    80004530:	000dcf17          	auipc	t5,0xdc

    80004534:	ad0f0f13          	addi	t5,t5,-1328 # 800e0000 <begin_signature>

    80004538:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000453c:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00019,"rtl hang due to -->80004584:	a80f0f13          	addi	t5,t5,-1408 # 800e0000 <begin_signature>
","    8000457c:	00020fb7          	lui	t6,0x20

    80004580:	000dcf17          	auipc	t5,0xdc

    80004584:	a80f0f13          	addi	t5,t5,-1408 # 800e0000 <begin_signature>

    80004588:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000458c:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00017,"rtl hang due to -->800045bc:	a48f0f13          	addi	t5,t5,-1464 # 800e0000 <begin_signature>
","    800045b4:	00020fb7          	lui	t6,0x20

    800045b8:	000dcf17          	auipc	t5,0xdc

    800045bc:	a48f0f13          	addi	t5,t5,-1464 # 800e0000 <begin_signature>

    800045c0:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045c4:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00016,"mismatch due to --> 8000222c:	00d6f033          	and	zero,a3,a3
","```

spike.dump:

3 0x000000008000222c (0x00d6f033) x 0 0x0000000000000000

rtl.dump:

3 0x000000008000222c (0x00d6f033) x 0 0x0000000000000282

```

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00015,"rtl hang due to -->800044e2:	b22f0f13          	addi	t5,t5,-1246 # 800e0000 <begin_signature>
","    800044da:	00020fb7          	lui	t6,0x20

    800044de:	000dcf17          	auipc	t5,0xdc

    800044e2:	b22f0f13          	addi	t5,t5,-1246 # 800e0000 <begin_signature>

    800044e6:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800044ea:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00014,"rtl hang due to -->800045ac:	a58f0f13          	addi	t5,t5,-1448 # 800e0000 <begin_signature>
","    800045a4:	00020fb7          	lui	t6,0x20

    800045a8:	000dcf17          	auipc	t5,0xdc

    800045ac:	a58f0f13          	addi	t5,t5,-1448 # 800e0000 <begin_signature>

    800045b0:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045b4:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00013,"rtl hang due to -->800045ea:	a1af0f13          	addi	t5,t5,-1510 # 800e0000 <begin_signature>
","    800045e2:	00020fb7          	lui	t6,0x20

    800045e6:	000dcf17          	auipc	t5,0xdc

    800045ea:	a1af0f13          	addi	t5,t5,-1510 # 800e0000 <begin_signature>

    800045ee:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045f2:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00012,"rtl hang due to -->800044e2:	b22f0f13          	addi	t5,t5,-1246 # 800e0000 <begin_signature>
","    800044da:	00020fb7          	lui	t6,0x20

    800044de:	000dcf17          	auipc	t5,0xdc

    800044e2:	b22f0f13          	addi	t5,t5,-1246 # 800e0000 <begin_signature>

    800044e6:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800044ea:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00010,"rtl hang due to -->80004624:	9e0f0f13          	addi	t5,t5,-1568 # 800e0000 <begin_signature>
","    8000461c:	00020fb7          	lui	t6,0x20

    80004620:	000dcf17          	auipc	t5,0xdc

    80004624:	9e0f0f13          	addi	t5,t5,-1568 # 800e0000 <begin_signature>

    80004628:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000462c:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00009,"rtl hang due to -->8000454c:	ab8f0f13          	addi	t5,t5,-1352 # 800e0000 <begin_signature>
","    80004544:	00020fb7          	lui	t6,0x20

    80004548:	000dcf17          	auipc	t5,0xdc

    8000454c:	ab8f0f13          	addi	t5,t5,-1352 # 800e0000 <begin_signature>

    80004550:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004554:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00008,"rtl hang due to -->80004544:	ac0f0f13          	addi	t5,t5,-1344 # 800e0000 <begin_signature>
","    8000453c:	00020fb7          	lui	t6,0x20

    80004540:	000dcf17          	auipc	t5,0xdc

    80004544:	ac0f0f13          	addi	t5,t5,-1344 # 800e0000 <begin_signature>

    80004548:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    8000454c:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00007,"rtl hang due to -->80004578:	a8cf0f13          	addi	t5,t5,-1396 # 800e0000 <begin_signature>
","    80004570:	00020fb7          	lui	t6,0x20

    80004574:	000dcf17          	auipc	t5,0xdc

    80004578:	a8cf0f13          	addi	t5,t5,-1396 # 800e0000 <begin_signature>

    8000457c:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004580:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00006,"rtl hang due to -->8000456a:	a9af0f13          	addi	t5,t5,-1382 # 800e0000 <begin_signature>
","    80004562:	00020fb7          	lui	t6,0x20

    80004566:	000dcf17          	auipc	t5,0xdc

    8000456a:	a9af0f13          	addi	t5,t5,-1382 # 800e0000 <begin_signature>

    8000456e:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004572:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00005,"rtl hang due to -->800045ce:	a36f0f13          	addi	t5,t5,-1482 # 800e0000 <begin_signature>
","    800045c6:	00020fb7          	lui	t6,0x20

    800045ca:	000dcf17          	auipc	t5,0xdc

    800045ce:	a36f0f13          	addi	t5,t5,-1482 # 800e0000 <begin_signature>

    800045d2:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045d6:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00004,"rtl hang due to -->80004570:	a94f0f13          	addi	t5,t5,-1388 # 800e0000 <begin_signature>
","    80004568:	00020fb7          	lui	t6,0x20

    8000456c:	000dcf17          	auipc	t5,0xdc

    80004570:	a94f0f13          	addi	t5,t5,-1388 # 800e0000 <begin_signature>

    80004574:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004578:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00003,"mismatch due to --> 80003a34:	7129                	addi	sp,sp,-320
","```

spike.dump:

3 0x0000000080003a34 (0x00007129) x 2 0x00000000800e5d50

rtl.dump:

3 0x0000000080003a34 (0x00007129) x 2 0x0000000000000000

```

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00002,"rtl hang due to -->8000459c:	a68f0f13          	addi	t5,t5,-1432 # 800e0000 <begin_signature>
","    80004594:	00020fb7          	lui	t6,0x20

    80004598:	000dcf17          	auipc	t5,0xdc

    8000459c:	a68f0f13          	addi	t5,t5,-1432 # 800e0000 <begin_signature>

    800045a0:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045a4:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00001,"rtl hang due to -->800045a4:	a60f0f13          	addi	t5,t5,-1440 # 800e0000 <begin_signature>
","    8000459c:	00020fb7          	lui	t6,0x20

    800045a0:	000dcf17          	auipc	t5,0xdc

    800045a4:	a60f0f13          	addi	t5,t5,-1440 # 800e0000 <begin_signature>

    800045a8:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    800045ac:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imc_bringup_080720201594204783_00000,"rtl hang due to -->8000457c:	a88f0f13          	addi	t5,t5,-1400 # 800e0000 <begin_signature>
","    80004574:	00020fb7          	lui	t6,0x20

    80004578:	000dcf17          	auipc	t5,0xdc

    8000457c:	a88f0f13          	addi	t5,t5,-1400 # 800e0000 <begin_signature>

    80004580:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80004584:	000ecf17          	auipc	t5,0xec

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00039,"rtl hang due to -->80005ae0:	524f0f13          	addi	t5,t5,1316 # 800e0000 <begin_signature>
","    80005ad8:	00020fb7          	lui	t6,0x20

    80005adc:	000daf17          	auipc	t5,0xda

    80005ae0:	524f0f13          	addi	t5,t5,1316 # 800e0000 <begin_signature>

    80005ae4:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005ae8:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00038,"rtl hang due to -->80005a88:	57cf0f13          	addi	t5,t5,1404 # 800e0000 <begin_signature>
","    80005a80:	00020fb7          	lui	t6,0x20

    80005a84:	000daf17          	auipc	t5,0xda

    80005a88:	57cf0f13          	addi	t5,t5,1404 # 800e0000 <begin_signature>

    80005a8c:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a90:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00037,"mismatch due to --> 800006ea:	029488bb          	mulw	a7,s1,s1
","```

spike.dump:

3 0x00000000800006ea (0x029488bb) x17 0x0000000000000001

rtl.dump:

3 0x00000000800006ea (0x029488bb) x17 0xffffffffa6441810

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00036,"rtl hang due to -->80005aca:	53af0f13          	addi	t5,t5,1338 # 800e0000 <begin_signature>
","    80005ac2:	00020fb7          	lui	t6,0x20

    80005ac6:	000daf17          	auipc	t5,0xda

    80005aca:	53af0f13          	addi	t5,t5,1338 # 800e0000 <begin_signature>

    80005ace:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005ad2:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00035,"mismatch due to --> 80000e10:	411c063b          	subw	a2,s8,a7
","```

spike.dump:

3 0x0000000080000e10 (0x411c063b) x12 0x00000000000007b7

rtl.dump:

3 0x0000000080000e10 (0x411c063b) x12 0x46353d63b0231a77

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00034,"mismatch due to --> 80002d9c:	ab5afb43          	fmadd.d	fs6,fs5,fs5,fs5
","```

spike.dump:

3 0x0000000080002d9c (0xab5afb43) f22 0x43ea08f98f8b2c6f

rtl.dump:

3 0x0000000080002d9c (0xab5afb43) f22 0x43ea08f98f8b2c70

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00033,"mismatch due to --> 800009f0:	038c21b3          	mulhsu	gp,s8,s8
","```

spike.dump:

3 0x00000000800009f0 (0x038c21b3) x 3 0x0000000000000000

rtl.dump:

3 0x00000000800009f0 (0x038c21b3) x 3 0xffffffffffff0e01

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00032,"mismatch due to --> 80000f00:	41695f1b          	sraiw	t5,s2,0x16
","```

spike.dump:

3 0x0000000080000f00 (0x41695f1b) x30 0x0000000000000041

rtl.dump:

3 0x0000000080000f00 (0x41695f1b) x30 0x0000000000000003

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00031,"mismatch due to --> 8000047a:	bbb4ff43          	fmadd.d	ft10,fs1,fs11,fs7
","```

spike.dump:

3 0x000000008000047a (0xbbb4ff43) f30 0x7ff8000000000000

rtl.dump:

3 0x000000008000047a (0xbbb4ff43) f30 0x1c19dc50724f80e0

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00030,"rtl hang due to -->80005b68:	49cf0f13          	addi	t5,t5,1180 # 800e0000 <begin_signature>
","    80005b60:	00020fb7          	lui	t6,0x20

    80005b64:	000daf17          	auipc	t5,0xda

    80005b68:	49cf0f13          	addi	t5,t5,1180 # 800e0000 <begin_signature>

    80005b6c:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005b70:	000eaf17          	auipc	t5,0xea

"
