test_dir,fail_reason,diff_disass
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00013,"rtl hang due to -->80005ad0:	534f0f13          	addi	t5,t5,1332 # 800e0000 <begin_signature>
","    80005ac8:	00020fb7          	lui	t6,0x20

    80005acc:	000daf17          	auipc	t5,0xda

    80005ad0:	534f0f13          	addi	t5,t5,1332 # 800e0000 <begin_signature>

    80005ad4:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005ad8:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00012,"mismatch due to --> 8000031c:	006a969b          	slliw	a3,s5,0x6
","```

spike.dump:

3 0x000000008000031c (0x006a969b) x13 0xffffffffffffffc0

rtl.dump:

3 0x000000008000031c (0x006a969b) x13 0x78c510a82eec4dcf

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00011,"rtl hang due to -->80005ace:	536f0f13          	addi	t5,t5,1334 # 800e0000 <begin_signature>
","    80005ac6:	00020fb7          	lui	t6,0x20

    80005aca:	000daf17          	auipc	t5,0xda

    80005ace:	536f0f13          	addi	t5,t5,1334 # 800e0000 <begin_signature>

    80005ad2:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005ad6:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00010,"mismatch due to --> 800003ec:	dbbe7d47          	fmsub.d	fs10,ft8,fs11,fs11
","```

spike.dump:

3 0x00000000800003ec (0xdbbe7d47) f26 0xfd027209e4fb1b74

rtl.dump:

3 0x00000000800003ec (0xdbbe7d47) f26 0xfd027209e4fb1b75

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00009,"mismatch due to --> 800005fa:	4069d53b          	sraw	a0,s3,t1
","```

spike.dump:

3 0x00000000800005fa (0x4069d53b) x10 0x000000003cf2bad5

rtl.dump:

3 0x00000000800005fa (0x4069d53b) x10 0xffffffff8006c580

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00007,"rtl hang due to -->80005af0:	514f0f13          	addi	t5,t5,1300 # 800e0000 <begin_signature>
","    80005ae8:	00020fb7          	lui	t6,0x20

    80005aec:	000daf17          	auipc	t5,0xda

    80005af0:	514f0f13          	addi	t5,t5,1300 # 800e0000 <begin_signature>

    80005af4:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005af8:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00005,"mismatch due to --> 800007d0:	d21d0cd3          	fcvt.d.wu	fs9,s10
","```

spike.dump:

3 0x00000000800007d0 (0xd21d0cd3) f25 0x41efffffffe00000

rtl.dump:

3 0x00000000800007d0 (0xd21d0cd3) f25 0x74d5780c081ddc55

```

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00004,"rtl hang due to -->80005a54:	5b0f0f13          	addi	t5,t5,1456 # 800e0000 <begin_signature>
","    80005a4c:	00020fb7          	lui	t6,0x20

    80005a50:	000daf17          	auipc	t5,0xda

    80005a54:	5b0f0f13          	addi	t5,t5,1456 # 800e0000 <begin_signature>

    80005a58:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a5c:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00003,"rtl hang due to -->80005af0:	514f0f13          	addi	t5,t5,1300 # 800e0000 <begin_signature>
","    80005ae8:	00020fb7          	lui	t6,0x20

    80005aec:	000daf17          	auipc	t5,0xda

    80005af0:	514f0f13          	addi	t5,t5,1300 # 800e0000 <begin_signature>

    80005af4:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005af8:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00002,"rtl hang due to -->80005b56:	4aef0f13          	addi	t5,t5,1198 # 800e0000 <begin_signature>
","    80005b4e:	00020fb7          	lui	t6,0x20

    80005b52:	000daf17          	auipc	t5,0xda

    80005b56:	4aef0f13          	addi	t5,t5,1198 # 800e0000 <begin_signature>

    80005b5a:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005b5e:	000eaf17          	auipc	t5,0xea

"
